"Porcupine Tree","The Sky Moves Sideways Phase 1"
"Witchfinder General","Requiem for Youth"
"Witchfinder General","Requiem for Youth"
"Collapse Under The Empire","The Last Reminder"
"Collapse Under The Empire","The Last Reminder"
"Sleepytime Gorilla Museum","Ambugaton"
"Sleepytime Gorilla Museum","Ambugaton"
"The Alphabet Asylum","Just a Suggestion"
"The Alphabet Asylum","Just a Suggestion"
"Killswitch Engage","Temple From The Within"
"Killswitch Engage","Temple From The Within"
"The Shizit","Just One Fix"
"The Shizit","Just One Fix"
"Dawn Heist","Voyager"
"Dawn Heist","Voyager"
"Stray From The Path","The House Always Wins"
"Stray From The Path","The House Always Wins"
"Conflict Theory","Monologue"
"Conflict Theory","Monologue"
"Baroness","Try to Disappear"
"Baroness","Try to Disappear"
"Y2j","Beng Lie Qian Sheng Si Li Jie"
"Y2j","Beng Lie Qian Sheng Si Li Jie"
"Periphery","Flatline"
"Periphery","Flatline"
"Intervals","Siren Sound"
"Intervals","Siren Sound"
"Figment","Rise Up (Taser Intl)"
"Figment","Rise Up (Taser Intl)"
"TesseracT","Of Reality - Eclipse"
"TesseracT","Of Reality - Eclipse"
"Carolina Chocolate Drops","Political World"
"Carolina Chocolate Drops","Political World"
"Ensiferum","Twilight Tavern"
"Ensiferum","Twilight Tavern"
"Tides Of Man","Descent"
"Tides Of Man","Descent"
"Steven Wilson","Remainder the Black Dog"
"Steven Wilson","Remainder the Black Dog"
"Adestria","1984"
"Adestria","1984"
"Genesis","The Lamb Lies Down On Broadway - New Stereo Mix"
"Genesis","The Lamb Lies Down On Broadway - New Stereo Mix"
"Hot Lunch","Monks On the Moon"
"Hot Lunch","Monks On the Moon"
"Dream The Electric Sleep","Drift"
"Dream The Electric Sleep","Drift"
"Queensrÿche","I Don't Believe In Love - 2003 Digital Remaster"
"Queensrÿche","I Don't Believe In Love - 2003 Digital Remaster"
"Horse The Band","Lord Gold Throneroom"
"Horse The Band","Lord Gold Throneroom"
"Akhlys","Consummation"
"Akhlys","Consummation"
"VOLA","A Stare Without Eyes"
"VOLA","A Stare Without Eyes"
"blessthefall","Hey Baby, Here's That Song You Wanted"
"blessthefall","Hey Baby, Here's That Song You Wanted"
"Bury Tomorrow","Man on Fire"
"Bury Tomorrow","Man on Fire"
"Neurosis","Raze the Stray"
"Neurosis","Raze the Stray"
"Quo Vadis","Silence Calls the Storm (Live)"
"Quo Vadis","Silence Calls the Storm (Live)"
"Stray From The Path","Black Friday"
"Stray From The Path","Black Friday"
"Laura","We Are Mapping Your Dreams"
"Laura","We Are Mapping Your Dreams"
"blessthefall","The Reign"
"blessthefall","The Reign"
"Hour of Penance","XXI Century Imperial Crusade"
"Hour of Penance","XXI Century Imperial Crusade"
"Sumerlands","Blind"
"Sumerlands","Blind"
"Dark Oath","Land of Ours"
"Dark Oath","Land of Ours"
"Galactic Pegasus","Revival"
"Galactic Pegasus","Revival"
"Knocked Loose","Blood Will Have Blood"
"Knocked Loose","Blood Will Have Blood"
"Adam Betts","FUB"
"Adam Betts","FUB"
"Cyderian Son","Ultraviolet"
"Cyderian Son","Ultraviolet"
"blessthefall","You Wear a Crown but You're No King"
"blessthefall","You Wear a Crown but You're No King"
"Fuzz","What's in My Head?"
"Fuzz","What's in My Head?"
"Baroness","Cockroach En Fleur"
"Baroness","Cockroach En Fleur"
"Belzebong","Acid Funeral"
"Belzebong","Acid Funeral"
"Like Vultures","If I Was the Devil"
"Like Vultures","If I Was the Devil"
"Haken","The Architect"
"Haken","The Architect"
"John Wesley","Showing Happy to the World - Live"
"John Wesley","Showing Happy to the World - Live"
"The White Noise","Brainwashed"
"The White Noise","Brainwashed"
"Novelists","Echoes"
"Novelists","Echoes"
"Lonely Robot","The Boy in the Radio"
"Lonely Robot","The Boy in the Radio"
"RPWL","3 Lights"
"RPWL","3 Lights"
"Opeth","Harvest"
"Opeth","Harvest"
"Riot","On Wings Of Eagles"
"Riot","On Wings Of Eagles"
"Focus","Sugar Island"
"Focus","Sugar Island"
"Nine Inch Nails","The Becoming"
"Nine Inch Nails","The Becoming"
"Disco Inferno","From The Devil To The Deep Blue Sky"
"Disco Inferno","From The Devil To The Deep Blue Sky"
"Khonsu","Death of the Timekeeper"
"Khonsu","Death of the Timekeeper"
"Carmen","Bulerias"
"Carmen","Bulerias"
"Eddie James, Elijah Schoofield","That Same Spirit (feat. Elijah Schoofield)"
"Eddie James, Elijah Schoofield","That Same Spirit (feat. Elijah Schoofield)"
"Urfaust","IX: Der Einsiedler"
"Urfaust","IX: Der Einsiedler"
"Ayreon","One Small Step"
"Ayreon","One Small Step"
"Killswitch Engage","Holy Diver"
"Killswitch Engage","Holy Diver"
"Unleash The Archers","Tonight We Ride"
"Unleash The Archers","Tonight We Ride"
"The Zenith Passage","Simulated Reality"
"The Zenith Passage","Simulated Reality"
"Fallujah","The Void Alone"
"Fallujah","The Void Alone"
"Fleshgod Apocalypse","The Fool"
"Fleshgod Apocalypse","The Fool"
"While She Sleeps","False Freedom"
"While She Sleeps","False Freedom"
"Metallica","ManUNkind"
"Metallica","ManUNkind"
"Septicflesh","Sangreal"
"Septicflesh","Sangreal"
"blessthefall","Bottomfeeder"
"blessthefall","Bottomfeeder"
"Hemina","Fantasy"
"Hemina","Fantasy"
"I Killed The Prom Queen","There Will Be No Violins When You Die"
"I Killed The Prom Queen","There Will Be No Violins When You Die"
"Incantation","Ethereal Misery"
"Incantation","Ethereal Misery"
"Atlantean Kodex","Twelve Stars and an Azure Gown"
"Atlantean Kodex","Twelve Stars and an Azure Gown"
"Demigod","Perpetual Ascent"
"Demigod","Perpetual Ascent"
"Steve Hackett","Dance on a Volcano"
"Steve Hackett","Dance on a Volcano"
"The Ills","Carol Goat"
"The Ills","Carol Goat"
"Last Cinema on Earth","Spring"
"Last Cinema on Earth","Spring"
"Centuries Apart","Malachi (My Messenger)"
"Centuries Apart","Malachi (My Messenger)"
"Winterfylleth","Pariah's Path"
"Winterfylleth","Pariah's Path"
"Pseudogod","Malignant Spears"
"Pseudogod","Malignant Spears"
"Elbow","powder blue"
"Elbow","powder blue"
"Oni","Thrive"
"Oni","Thrive"
"Maschine","Megacyma"
"Maschine","Megacyma"
"Mooncake","Rain in the Ashtray"
"Mooncake","Rain in the Ashtray"
"Invent, Animate","Courier"
"Invent, Animate","Courier"
"Voivod","Clouds In My House"
"Voivod","Clouds In My House"
"Caligula's Horse","Rust"
"Caligula's Horse","Rust"
"Traditional, Linda Russell & Companie","The Friendly Beasts"
"Traditional, Linda Russell & Companie","The Friendly Beasts"
"Geph","The Trouble with Doorways"
"Geph","The Trouble with Doorways"
"Morbus Chron","Creepy Creeping Creep"
"Morbus Chron","Creepy Creeping Creep"
"Oh, Sleeper","Endseekers"
"Oh, Sleeper","Endseekers"
"The Ongoing Concept","Cover Girl"
"The Ongoing Concept","Cover Girl"
"Yes","Circus Of Heaven"
"Yes","Circus Of Heaven"
"Katatonia","In Silence Enshrined"
"Katatonia","In Silence Enshrined"
"Attack Attack!","I Kissed A Girl (Katy Perry cover)"
"Attack Attack!","I Kissed A Girl (Katy Perry cover)"
"Lethal Steel","Into the Void of Lucifer"
"Lethal Steel","Into the Void of Lucifer"
"Khemmis","Candlelight"
"Khemmis","Candlelight"
"Jakob","Saint"
"Jakob","Saint"
"Artificial Brain","Brain Transplant"
"Artificial Brain","Brain Transplant"
"Sweep the Leg Johnny","Sometimes My Balls Feel Like Tits - Part One"
"Sweep the Leg Johnny","Sometimes My Balls Feel Like Tits - Part One"
"Anaal Nathrakh","Extravaganza!"
"Anaal Nathrakh","Extravaganza!"
"Silent Planet","Panic Room"
"Silent Planet","Panic Room"
"Crystal Lake","Prometheus"
"Crystal Lake","Prometheus"
"Sleep Cycle","It's There, You Just Need to Look"
"Sleep Cycle","It's There, You Just Need to Look"
"Caravan","Can't Be Long Now"
"Caravan","Can't Be Long Now"
"Fit For A King","Pissed Off"
"Fit For A King","Pissed Off"
"Shades Of Black","The Scorpion King"
"Shades Of Black","The Scorpion King"
"Attack Attack!","Sexual Man Chocolate"
"Attack Attack!","Sexual Man Chocolate"
"Psychic Lemon","Death Cult Blues"
"Psychic Lemon","Death Cult Blues"
"Darkthrone","En Vind Av Sorg"
"Darkthrone","En Vind Av Sorg"
"Cloudkicker","We're Goin' in, We're Going Down. - live studio recording"
"Cloudkicker","We're Goin' in, We're Going Down. - live studio recording"
"Frank Zappa, The Mothers Of Invention","Holiday In Berlin, Full-Blown"
"Frank Zappa, The Mothers Of Invention","Holiday In Berlin, Full-Blown"
"Between The Buried And Me","Prequel to the Sequel"
"Between The Buried And Me","Prequel to the Sequel"
"Fellsilent","Emerge"
"Fellsilent","Emerge"
"Gentle Giant","Alucard"
"Gentle Giant","Alucard"
"Oracle","Tomb of Serpents"
"Oracle","Tomb of Serpents"
"Miss May I","Porcelain Wings"
"Miss May I","Porcelain Wings"
"In Dying Arms","Blind To The Truth"
"Bell Witch","I Wait"
"Bell Witch","I Wait"
"Mutoid Man","Bridgeburner"
"Mutoid Man","Bridgeburner"
"Structures, Adrian Fitipaldes","Follower (feat. Adrian Fitipaldes)"
"Structures, Adrian Fitipaldes","Follower (feat. Adrian Fitipaldes)"
"Wishbone Ash","Sometime World"
"Wishbone Ash","Sometime World"
"After The Burial","Disconnect"
"After The Burial","Disconnect"
"Enslaved","Havenless"
"Enslaved","Havenless"
"Fellsilent","Immerse"
"Fellsilent","Immerse"
"Black Crown Initiate","Stench of the Iron Age"
"Black Crown Initiate","Stench of the Iron Age"
"The Arbitrary","Glacial Tranquility"
"The Arbitrary","Glacial Tranquility"
"Cynic","Celestial Voyage"
"Cynic","Celestial Voyage"
"Brand X (West)","Red"
"Brand X (West)","Red"
"After The Burial","Lost In The Static"
"After The Burial","Lost In The Static"
"Silent Planet","Darkstrand (Hibakusha)"
"Silent Planet","Darkstrand (Hibakusha)"
"We Lost The Sea","A Gallant Gentleman"
"We Lost The Sea","A Gallant Gentleman"
"Josh Wilson","Say Yes"
"Josh Wilson","Say Yes"
"One Day of December","Point of Beginning"
"One Day of December","Point of Beginning"
"Protest The Hero","Mist"
"Protest The Hero","Mist"
"Enforcer","Katana"
"Enforcer","Katana"
"Protest The Hero","Plato's Tripartite"
"Protest The Hero","Plato's Tripartite"
"Surdus","Resemblance Is Dead"
"Surdus","Resemblance Is Dead"
"Nihilist","Revel In Flesh"
"Nihilist","Revel In Flesh"
"Ephel Duath","The Passage (Pearl Grey)"
"Ephel Duath","The Passage (Pearl Grey)"
"After The Burial","Your Troubles Will Cease And Fortune Will Smile Upon You"
"After The Burial","Your Troubles Will Cease And Fortune Will Smile Upon You"
"Plini","Wombat Astronaut (Beyond the Burrow)"
"Plini","Wombat Astronaut (Beyond the Burrow)"
"Endless Curse","Get Free"
"Endless Curse","Get Free"
"Goatsnake","Heartbreaker"
"Goatsnake","Heartbreaker"
"Shining","Fullständigt jävla död inuti"
"Shining","Fullständigt jävla död inuti"
"Mayhem","Freezing Moon"
"Mayhem","Freezing Moon"
"blessthefall","Dead Air"
"blessthefall","Dead Air"
"Wretched","Part II: Beyond the Gate"
"Wretched","Part II: Beyond the Gate"
"As I Lay Dying","The Sound Of Truth"
"As I Lay Dying","The Sound Of Truth"
"Dismember","Torn Apart"
"Dismember","Torn Apart"
"Church of the Cosmic Skull","Mountain Heart"
"Church of the Cosmic Skull","Mountain Heart"
"Grand Magus","Fear Is the Key"
"Grand Magus","Fear Is the Key"
"Grand Magus","Fear Is the Key"
"Grand Magus","Fear Is the Key"
"The Amity Affliction","I Hate Hartley"
"The Amity Affliction","I Hate Hartley"
"Genesis","White Mountain"
"Genesis","White Mountain"
"Oozing Wound","Everything Sucks, And My Life Is A Lie"
"Oozing Wound","Everything Sucks, And My Life Is A Lie"
"Circulus","My Body Is Made of Sunlight"
"Circulus","My Body Is Made of Sunlight"
"Lamb of God","Terror and Hubris in the House of Frank Pollard"
"Lamb of God","Terror and Hubris in the House of Frank Pollard"
"Strobes","OK Please"
"Strobes","OK Please"
"Heaven Shall Burn","Combat"
"Heaven Shall Burn","Combat"
"Nemo","Loin des yeux - Barbares parties VIII à XII"
"Nemo","Loin des yeux - Barbares parties VIII à XII"
"Navajo Witch","Rites of Divination"
"Navajo Witch","Rites of Divination"
"Devastation","Forsaken Hatred"
"Devastation","Forsaken Hatred"
"Currents","Withered"
"Currents","Withered"
"Sadist","Ogron"
"Sadist","Ogron"
"Iced Earth","The Phantom Opera Ghost"
"Iced Earth","The Phantom Opera Ghost"
"Caspian","Echo And Abyss"
"Caspian","Echo And Abyss"
"Normary, Maxi Broß","I hope you don't forget me"
"Normary, Maxi Broß","I hope you don't forget me"
"Into Oblivion","Dirty Waters"
"Into Oblivion","Dirty Waters"
"Botch","To Our Friends In the Great White North"
"Botch","To Our Friends In the Great White North"
"Converge","My Unsaid Everything"
"Converge","My Unsaid Everything"
"Asking Alexandria","Morte et Dabo"
"Asking Alexandria","Morte et Dabo"
"Wolves At The Gate","East to West"
"Wolves At The Gate","East to West"
"Deeds of Flesh","Infecting Them with Falsehood"
"Deeds of Flesh","Infecting Them with Falsehood"
"Man","Back Into The Future"
"Man","Back Into The Future"
"James Yorkston","Summer Song"
"James Yorkston","Summer Song"
"Symphony X","The Serpent's Kiss"
"Symphony X","The Serpent's Kiss"
"We Came As Romans","I Will Not Reap Destruction"
"We Came As Romans","I Will Not Reap Destruction"
"Memphis May Fire","The Sinner"
"Memphis May Fire","The Sinner"
"Obscura","Hymn to a Nocturnal Visitor"
"Obscura","Hymn to a Nocturnal Visitor"
"Skinless","The Optimist"
"Skinless","The Optimist"
"Blood Incantation","The Vth Tablet (Of Enuma Elis)"
"Blood Incantation","The Vth Tablet (Of Enuma Elis)"
"Moonsorrow","Tähdetön"
"Moonsorrow","Tähdetön"
"Witchtrap","Hard Thrashing Mania"
"Witchtrap","Hard Thrashing Mania"
"Riverside","Loose Heart"
"Riverside","Loose Heart"
"Bury Tomorrow","Message to a King"
"Bury Tomorrow","Message to a King"
"Inferi","Those Who from the Heavens Came"
"Inferi","Those Who from the Heavens Came"
"Sigh","Fall to the Thrall"
"Sigh","Fall to the Thrall"
"Every Time I Die","Decayin' With The Boys"
"Every Time I Die","Decayin' With The Boys"
"Bad Omens","The Fountain"
"Bad Omens","The Fountain"
"Swervedriver","English Subtitles"
"Swervedriver","English Subtitles"
"楊宗緯","Guang Ying"
"楊宗緯","Guang Ying"
"Phinehas","I Am the Lion"
"Phinehas","I Am the Lion"
"Tracedawn","The Crawl"
"Tracedawn","The Crawl"
"Dream Theater","The Shattered Fortress"
"Dream Theater","The Shattered Fortress"
"The American Dollar","4 BC"
"The American Dollar","4 BC"
"Church Of Misery","Taste The Pain (Graham Young)"
"Church Of Misery","Taste The Pain (Graham Young)"
"Haken","Pareidolia"
"Haken","Pareidolia"
"Erra","White Noise"
"Erra","White Noise"
"DevilDriver","Clouds Over California"
"DevilDriver","Clouds Over California"
"Meniscus","Immersion"
"Meniscus","Immersion"
"Diamond Head","Helpless"
"Diamond Head","Helpless"
"Stirling Newberry","Quartet #8, In B - IV Groove For String Quartet"
"Stirling Newberry","Quartet #8, In B - IV Groove For String Quartet"
"Plot In You, The","The Fathers Seed"
"Plot In You, The","The Fathers Seed"
"Brontide","Arioso"
"Brontide","Arioso"
"Wows","Chakpori"
"Wows","Chakpori"
"Bury Tomorrow","Watcher"
"Bury Tomorrow","Watcher"
"Versa","We Are Not What We Say We Are"
"Versa","We Are Not What We Say We Are"
"Kingcrow","The Deeper Divide"
"Kingcrow","The Deeper Divide"
"Serpentine Dominion","Jagged Cross Legions"
"Serpentine Dominion","Jagged Cross Legions"
"Wretched","Calloused"
"Wretched","Calloused"
"For Today","Pariah"
"For Today","Pariah"
"A Sense of Gravity","Guise of Complacency"
"A Sense of Gravity","Guise of Complacency"
"Possessor","Slaughter High"
"Possessor","Slaughter High"
"Cane Hill","MGGDA"
"Cane Hill","MGGDA"
"Necrophagist","Culinary Hyperversity"
"Necrophagist","Culinary Hyperversity"
"Yes","Siberian Khatru - Remastered"
"Yes","Siberian Khatru - Remastered"
"Kotebel","Ouroboros"
"Kotebel","Ouroboros"
"Dream Theater","Trial Of Tears - Live From The Boston Opera House"
"Dream Theater","Trial Of Tears - Live From The Boston Opera House"
"I Prevail","Scars"
"I Prevail","Scars"
"Riverside","Where the River Flows"
"Riverside","Where the River Flows"
"Norma Jean","Robots 3 Humans 0"
"Norma Jean","Robots 3 Humans 0"
"Agent Fresco","Dark Water"
"Agent Fresco","Dark Water"
"As I Lay Dying","A Greater Foundation"
"As I Lay Dying","A Greater Foundation"
"Code I","The Esoteric Ones"
"Code I","The Esoteric Ones"
"Spiritus Mortis","Forbidden Arts"
"Spiritus Mortis","Forbidden Arts"
"Keith Tippett Tapestry Orchestra, Dave Amis, Elton Dean, Gethin Liddington, Gianluigi Trovesi, Jim Dvorak, Julie Tippetts, Larry Stabbins, Lee Goodall, Maggie Nicols, Malcolm Griffiths, Mark Charig, Oren Marshall, Paul Dunmall, Paul Rogers, Paul Rutherford, Piano Minafra, Simon Picard, Vivien Ellis, Louis Moholo, Tony Levin","First Thread"
"Keith Tippett Tapestry Orchestra, Dave Amis, Elton Dean, Gethin Liddington, Gianluigi Trovesi, Jim Dvorak, Julie Tippetts, Larry Stabbins, Lee Goodall, Maggie Nicols, Malcolm Griffiths, Mark Charig, Oren Marshall, Paul Dunmall, Paul Rogers, Paul Rutherford, Piano Minafra, Simon Picard, Vivien Ellis, Louis Moholo, Tony Levin","First Thread"
"No Wyld, Allan Kingdom","Tomorrow"
"No Wyld, Allan Kingdom","Tomorrow"
"Yes","Ritual / Nous Sommes Du Soleil - Remastered"
"Yes","Ritual / Nous Sommes Du Soleil - Remastered"
"The Body","Wanderings"
"The Body","Wanderings"
"The Dillinger Escape Plan","Farewell, Mona Lisa"
"The Dillinger Escape Plan","Farewell, Mona Lisa"
"Twelve Foot Ninja","Ain't That A Bitch"
"Twelve Foot Ninja","Ain't That A Bitch"
"40 Watt Sun","Carry Me Home"
"40 Watt Sun","Carry Me Home"
"Gruesome","Hellbound"
"Gruesome","Hellbound"
"The Dillinger Escape Plan","Symptom of Terminal Illness"
"The Dillinger Escape Plan","Symptom of Terminal Illness"
"Vault of Valor","My Sacrifice"
"Vault of Valor","My Sacrifice"
"I Built the Sky, Sithu Aye","Translucidus (feat. Sithu Aye)"
"I Built the Sky, Sithu Aye","Translucidus (feat. Sithu Aye)"
"Witch Cross","Fight the Fire"
"Witch Cross","Fight the Fire"
"The Moody Blues","Have You Heard (Part 1)"
"The Moody Blues","Have You Heard (Part 1)"
"Haste The Day","The Quiet, Deadly Ticking"
"Haste The Day","The Quiet, Deadly Ticking"
"JP Bouvet, Asher Kurtz, Jed Lingat","Rosco the Wolf"
"JP Bouvet, Asher Kurtz, Jed Lingat","Rosco the Wolf"
"Oceans Ate Alaska","High Horse"
"Oceans Ate Alaska","High Horse"
"Ringtone Track Masters","I Need A Girl (Part Two)"
"Ringtone Track Masters","I Need A Girl (Part Two)"
"Wovenwar","Stones Thrown"
"Wovenwar","Stones Thrown"
"The Tea Club","Wasp in a Wig"
"The Tea Club","Wasp in a Wig"
"Helstar","Baptized In Blood"
"Helstar","Baptized In Blood"
"Paradise Lost","No Hope in Sight"
"Paradise Lost","No Hope in Sight"
"Spelljammer","The Pathfinder"
"Spelljammer","The Pathfinder"
"Scar Symmetry","Morphogenesis"
"Scar Symmetry","Morphogenesis"
"Leviathan","All Tongues Toward"
"Leviathan","All Tongues Toward"
"Ciccada","Ciccada"
"Ciccada","Ciccada"
"Fit For A King","Warpath"
"Fit For A King","Warpath"
"Frost*","Nice Day for It..."
"Frost*","Nice Day for It..."
"The Alan Parsons Project","Breakdown / The Raven"
"The Alan Parsons Project","Breakdown / The Raven"
"Northlane","Masquerade"
"Northlane","Masquerade"
"Invent, Animate","Wolf Skin"
"Invent, Animate","Wolf Skin"
"Underoath","In Regards to Myself"
"Underoath","In Regards to Myself"
"Eroded","Below In Silence"
"Eroded","Below In Silence"
"Zhrine","Utopian Warfare"
"Zhrine","Utopian Warfare"
"Runemagick","Ancient Incantations"
"Runemagick","Ancient Incantations"
"Zombie Frogs","Potentially Broken Orange"
"Zombie Frogs","Potentially Broken Orange"
"Lifestory: Monologue","Make It Grey"
"Lifestory: Monologue","Make It Grey"
"Allan Holdsworth","Metal Fatigue"
"Allan Holdsworth","Metal Fatigue"
"Years Of Rice And Salt","Eskimo Kiss"
"Years Of Rice And Salt","Eskimo Kiss"
"Veil Of Maya","Unbreakable"
"Veil Of Maya","Unbreakable"
"At The Gates","Blinded By Fear"
"At The Gates","Blinded By Fear"
"Veil Of Maya","It's Torn Away"
"Veil Of Maya","It's Torn Away"
"Attila","Rage"
"Attila","Rage"
"Yes","Close To The Edge (I. The Solid Time Of Change, II. Total Mass Retain, III. I Get Up I Get Down, IV. Seasons Of Man) - Remastered"
"Yes","Close To The Edge (I. The Solid Time Of Change, II. Total Mass Retain, III. I Get Up I Get Down, IV. Seasons Of Man) - Remastered"
"Pentagram","20 Buck Spin"
"Pentagram","20 Buck Spin"
"Nile","Kafir !"
"Nile","Kafir !"
"Drudkh","Sunwheel - Сонячне Коло"
"Drudkh","Sunwheel - Сонячне Коло"
"Darkthrone","Leave No Cross Unturned"
"Darkthrone","Leave No Cross Unturned"
"Ice Nine Kills","Hell in the Hallways"
"Ice Nine Kills","Hell in the Hallways"
"Quatermass","Make Up Your Mind"
"Quatermass","Make Up Your Mind"
"Underoath","Reinventing Your Exit"
"Underoath","Reinventing Your Exit"
"A Plea for Purging","Shiver"
"A Plea for Purging","Shiver"
"High On Fire","Brother In the Wind"
"High On Fire","Brother In the Wind"
"Animals As Leaders","Backpfeifengesicht"
"Animals As Leaders","Backpfeifengesicht"
"Goatwhore","Baring Teeth for Revolt"
"Goatwhore","Baring Teeth for Revolt"
"Miss May I","Hey Mister"
"Miss May I","Hey Mister"
"Peter Hammill","(In The) Black Room (Including 'The Tower') - 2006 Digital Remaster"
"Peter Hammill","(In The) Black Room (Including 'The Tower') - 2006 Digital Remaster"
"Between The Buried And Me","Turn on the Darkness"
"Between The Buried And Me","Turn on the Darkness"
"Anaal Nathrakh","We Will Fucking Kill You"
"Anaal Nathrakh","We Will Fucking Kill You"
"The Atlas Moth","Coffin Varnish"
"The Atlas Moth","Coffin Varnish"
"Koronal","Fabric of Reality"
"Koronal","Fabric of Reality"
"Esperanza Spalding","Good Lava"
"Esperanza Spalding","Good Lava"
"Every Time I Die","Floater"
"Every Time I Die","Floater"
"Greg Lake","21st Century Schizoid Man [Live]"
"Greg Lake","21st Century Schizoid Man [Live]"
"Demians","Porcelain"
"Demians","Porcelain"
"Oceansize","Paper Champion"
"Oceansize","Paper Champion"
"Cirith Ungol","War Eternal"
"Cirith Ungol","War Eternal"
"Nuclear Assault","Critical Mass"
"Nuclear Assault","Critical Mass"
"In Reverence","Prometheus"
"In Reverence","Prometheus"
"In Reverence","Prometheus"
"In Reverence","Prometheus"
"Faith No More","Surprise! You're Dead!"
"Faith No More","Surprise! You're Dead!"
"Conan","Gravity Chasm"
"Conan","Gravity Chasm"
"Greg Lake","I Believe in Father Christmas"
"Greg Lake","I Believe in Father Christmas"
"Oh, Sleeper","World Without A Sun"
"Oh, Sleeper","World Without A Sun"
"Beartooth","The Lines"
"Beartooth","The Lines"
"Avenged Sevenfold","Sunny Disposition"
"Avenged Sevenfold","Sunny Disposition"
"Blue Sky Black Death","IV (feat. JMSN)"
"Blue Sky Black Death","IV (feat. JMSN)"
"Through Lucid Eyes","Transient"
"Through Lucid Eyes","Transient"
"Killswitch Engage","World Ablaze"
"Killswitch Engage","World Ablaze"
"Abhorrent","Ifrit"
"Abhorrent","Ifrit"
"Enslaved","Roots of the Mountain"
"Enslaved","Roots of the Mountain"
"Emerson, Lake & Palmer","From the Beginning - 2015 - Remaster"
"Emerson, Lake & Palmer","From the Beginning - 2015 - Remaster"
"Kansas","Hopelessly Human"
"Kansas","Hopelessly Human"
"Enemies","itsallwaves"
"Enemies","itsallwaves"
"Greg Lake","Still… You Turn Me On"
"Greg Lake","Still… You Turn Me On"
"Asking Alexandria","Not The American Average"
"Asking Alexandria","Not The American Average"
"Old Gray","On Earth, as It Is in Heaven"
"Old Gray","On Earth, as It Is in Heaven"
"The Algorithm","shellcode"
"The Algorithm","shellcode"
"Orchards","Honey"
"Orchards","Honey"
"Extol","Nihilism 2002"
"Extol","Nihilism 2002"
"Enemies","itsallwaves"
"Enemies","itsallwaves"
"Bark Psychosis","400 Winters"
"Bark Psychosis","400 Winters"
"Knocked Loose","The Gospel"
"Knocked Loose","The Gospel"
"Raised By Swans","violet light"
"Raised By Swans","violet light"
"Modern Day Babylon","Thaller Than Thall (Outro)"
"Modern Day Babylon","Thaller Than Thall (Outro)"
"Phobocosm","Solipsist"
"Phobocosm","Solipsist"
"Monuments","Atlas"
"Monuments","Atlas"
"Vastum","Sodomitic Malevolence"
"Vastum","Sodomitic Malevolence"
"Dream Evil","The Chosen Ones"
"Dream Evil","The Chosen Ones"
"Zao","A Well-Intentioned Virus"
"Zao","A Well-Intentioned Virus"
"Memphis May Fire","Alive In The Lights"
"Memphis May Fire","Alive In The Lights"
"Issues","Stingray Affliction"
"Issues","Stingray Affliction"
"Westing","Crooked Pictures"
"Westing","Crooked Pictures"
"Candlemass","Black Dwarf"
"Candlemass","Black Dwarf"
"Betraying The Martyrs","Man Made Disaster"
"Betraying The Martyrs","Man Made Disaster"
"Crystal Lake","Metro"
"Crystal Lake","Metro"
"Steve Reich, Vincent Corver, Keith Ford","Piano Phase"
"Steve Reich, Vincent Corver, Keith Ford","Piano Phase"
"Dark Funeral","Stigmata"
"Dark Funeral","Stigmata"
"All That Remains","Whispers (I Hear You)"
"All That Remains","Whispers (I Hear You)"
"Mud Flow","The sense of me"
"Mud Flow","The sense of me"
"Kadavar","Doomsday Machine"
"Kadavar","Doomsday Machine"
"Gamma Ray","Man On A Mission (remastered)"
"Gamma Ray","Man On A Mission (remastered)"
"Unearth","My Will Be Done"
"Unearth","My Will Be Done"
"Snow Patrol","The Symphony"
"Snow Patrol","The Symphony"
"Breakdown of Sanity","December"
"Breakdown of Sanity","December"
"Texas In July","Sweetest Poison"
"Texas In July","Sweetest Poison"
"Exmortus","Let Us Roam"
"Exmortus","Let Us Roam"
"Astra","The Weirding"
"Astra","The Weirding"
"Modern Day Babylon","Thaller Than Thall (Outro)"
"Modern Day Babylon","Thaller Than Thall (Outro)"
"Hypocrisy","Eraser"
"Hypocrisy","Eraser"
"Attack Attack!","Renob, Nevada"
"Attack Attack!","Renob, Nevada"
"Trevor Menear","Plates"
"Trevor Menear","Plates"
"Set to Stun","Dreamcatchers // Bodysnatchers"
"Set to Stun","Dreamcatchers // Bodysnatchers"
"Avenged Sevenfold","Creating God"
"Avenged Sevenfold","Creating God"
"Twisted Sister","Horror-Teria A) Captain Howdy B) Street Justice"
"Twisted Sister","Horror-Teria A) Captain Howdy B) Street Justice"
"Wolves At The Gate","Wake Up"
"Wolves At The Gate","Wake Up"
"Gorguts","A Path Beyond Premonition"
"Gorguts","A Path Beyond Premonition"
"Testament","Apocalyptic City"
"Testament","Apocalyptic City"
"Destruction","Nailed to the Cross"
"Destruction","Nailed to the Cross"
"Monstrosity","Perpetual War"
"Monstrosity","Perpetual War"
"Crown The Empire","Voices"
"Crown The Empire","Voices"
"The Dear Hunter","A Night on the Town"
"The Dear Hunter","A Night on the Town"
"Decrepit Birth","Mirroring Dimensions"
"Decrepit Birth","Mirroring Dimensions"
"Marillion","Carol of the Bells"
"Marillion","Carol of the Bells"
"Northlane, In Hearts Wake","Refuge"
"Northlane, In Hearts Wake","Refuge"
"Oceans Ate Alaska","Clocks"
